iter	Passed	Remaining
976	19052	10198
977	19070	10178
978	19089	10159
979	19111	10141
980	19131	10121
981	19149	10101
982	19168	10081
983	19187	10061
984	19208	10042
985	19227	10023
986	19246	10003
987	19265	9983
988	19283	9963
989	19300	9942
990	19319	9922
991	19338	9903
992	19357	9883
993	19378	9864
994	19397	9845
995	19418	9826
996	19437	9806
997	19455	9786
998	19474	9766
999	19494	9747
1000	19515	9728
1001	19534	9708
1002	19554	9689
1003	19573	9669
1004	19593	9650
1005	19613	9631
1006	19632	9611
1007	19653	9592
1008	19672	9572
1009	19691	9553
1010	19709	9533
1011	19727	9513
1012	19746	9493
1013	19767	9474
1014	19786	9454
1015	19805	9435
1016	19824	9415
1017	19844	9395
1018	19863	9376
1019	19883	9356
1020	19903	9337
1021	19924	9318
1022	19946	9300
1023	19968	9282
1024	19986	9261
1025	20005	9242
1026	20024	9222
1027	20043	9202
1028	20062	9183
1029	20080	9162
1030	20101	9144
1031	20121	9124
1032	20140	9105
1033	20158	9085
1034	20178	9065
1035	20197	9045
1036	20215	9026
1037	20235	9006
1038	20255	8987
1039	20275	8967
1040	20294	8948
1041	20313	8928
1042	20332	8909
1043	20353	8890
1044	20372	8870
1045	20393	8851
1046	20413	8832
1047	20432	8812
1048	20450	8792
1049	20471	8773
1050	20491	8754
1051	20510	8734
1052	20530	8715
1053	20547	8694
1054	20567	8675
1055	20588	8656
1056	20608	8637
1057	20628	8617
1058	20648	8598
1059	20667	8578
1060	20688	8559
1061	20708	8540
1062	20727	8520
1063	20745	8500
1064	20764	8481
1065	20783	8461
1066	20803	8442
1067	20822	8422
1068	20842	8403
1069	20861	8383
1070	20878	8363
1071	20897	8343
1072	20916	8323
1073	20935	8304
1074	20954	8284
1075	20973	8264
1076	20993	8245
1077	21013	8225
1078	21032	8206
1079	21051	8186
1080	21072	8167
1081	21095	8149
1082	21113	8129
1083	21133	8110
1084	21151	8090
1085	21171	8070
1086	21190	8051
1087	21211	8032
1088	21230	8012
1089	21249	7992
1090	21270	7973
1091	21290	7954
1092	21308	7934
1093	21326	7914
1094	21346	7895
1095	21366	7875
1096	21384	7856
1097	21403	7836
1098	21423	7816
1099	21442	7797
1100	21461	7777
1101	21482	7758
1102	21502	7739
1103	21520	7719
1104	21540	7700
1105	21558	7679
1106	21578	7660
1107	21598	7641
1108	21619	7622
1109	21639	7603
1110	21658	7583
1111	21678	7564
1112	21697	7544
1113	21715	7524
1114	21733	7504
1115	21754	7485
1116	21773	7465
1117	21792	7446
1118	21811	7426
1119	21830	7406
1120	21849	7386
1121	21867	7367
1122	21887	7347
1123	21906	7328
1124	21926	7308
1125	21947	7289
1126	21966	7270
1127	21986	7250
1128	22007	7231
1129	22027	7212
1130	22049	7193
1131	22067	7173
1132	22088	7154
1133	22107	7135
1134	22126	7115
1135	22146	7096
1136	22164	7076
1137	22188	7058
1138	22212	7040
1139	22234	7021
1140	22255	7002
1141	22277	6983
1142	22298	6964
1143	22320	6945
1144	22339	6926
1145	22367	6909
1146	22386	6889
1147	22407	6870
1148	22428	6851
1149	22448	6832
1150	22467	6812
1151	22488	6793
1152	22508	6773
1153	22526	6754
1154	22546	6734
1155	22567	6715
1156	22591	6697
1157	22610	6677
1158	22629	6658
1159	22648	6638
1160	22667	6618
1161	22687	6599
1162	22707	6579
1163	22725	6560
1164	22745	6540
1165	22764	6520
1166	22784	6501
1167	22803	6481
1168	22821	6461
1169	22841	6442
1170	22862	6423
1171	22881	6403
1172	22901	6384
1173	22922	6365
1174	22943	6346
1175	22963	6326
1176	22986	6308
1177	23008	6289
1178	23026	6269
1179	23044	6249
1180	23064	6229
1181	23083	6210
1182	23102	6190
1183	23122	6171
1184	23142	6151
1185	23161	6132
1186	23179	6112
1187	23197	6092
1188	23216	6072
1189	23235	6052
1190	23255	6033
1191	23274	6013
1192	23293	5994
1193	23312	5974
1194	23331	5954
1195	23351	5935
1196	23370	5915
1197	23389	5896
1198	23408	5876
1199	23429	5857
1200	23449	5837
1201	23469	5818
1202	23489	5799
1203	23508	5779
1204	23528	5760
1205	23550	5741
1206	23569	5721
1207	23590	5702
1208	23610	5682
1209	23630	5663
1210	23649	5643
1211	23668	5624
1212	23687	5604
1213	23706	5584
1214	23727	5565
1215	23746	5546
1216	23767	5526
1217	23786	5507
1218	23806	5487
1219	23826	5468
1220	23845	5448
1221	23865	5429
1222	23885	5409
1223	23904	5390
1224	23923	5370
1225	23941	5350
1226	23960	5331
1227	23980	5311
1228	24000	5292
1229	24020	5272
1230	24038	5252
1231	24058	5233
1232	24077	5213
1233	24097	5194
1234	24116	5174
1235	24137	5155
1236	24157	5136
1237	24177	5116
1238	24197	5097
1239	24215	5077
1240	24234	5057
1241	24256	5038
1242	24276	5019
1243	24295	4999
1244	24315	4980
1245	24334	4960
1246	24357	4941
1247	24376	4922
1248	24397	4902
1249	24417	4883
1250	24435	4863
1251	24455	4844
1252	24473	4824
1253	24492	4804
1254	24512	4785
1255	24532	4765
1256	24553	4746
1257	24573	4727
1258	24594	4707
1259	24613	4688
1260	24632	4668
1261	24652	4649
1262	24670	4629
1263	24691	4610
1264	24711	4590
1265	24730	4571
1266	24750	4551
1267	24769	4532
1268	24789	4512
1269	24809	4493
1270	24829	4473
1271	24847	4453
1272	24867	4434
1273	24886	4414
1274	24905	4395
1275	24925	4375
1276	24944	4355
1277	24964	4336
1278	24983	4316
1279	25003	4297
1280	25022	4277
1281	25045	4258
1282	25064	4239
1283	25085	4220
1284	25104	4200
1285	25123	4180
1286	25142	4161
1287	25162	4141
1288	25181	4122
1289	25201	4102
1290	25219	4082
1291	25239	4063
1292	25258	4043
1293	25278	4024
1294	25297	4004
1295	25317	3985
1296	25335	3965
1297	25353	3945
1298	25372	3926
1299	25392	3906
1300	25412	3887
1301	25430	3867
1302	25449	3847
1303	25468	3828
1304	25487	3808
1305	25506	3788
1306	25526	3769
1307	25546	3750
1308	25568	3730
1309	25588	3711
1310	25609	3691
1311	25631	3672
1312	25650	3653
1313	25670	3633
1314	25691	3614
1315	25709	3594
1316	25728	3574
1317	25747	3555
1318	25766	3535
1319	25786	3516
1320	25805	3496
1321	25824	3477
1322	25844	3457
1323	25863	3438
1324	25882	3418
1325	25903	3399
1326	25922	3379
1327	25941	3359
1328	25960	3340
1329	25978	3320
1330	25998	3301
1331	26017	3281
1332	26037	3262
1333	26058	3242
1334	26077	3223
1335	26096	3203
1336	26115	3183
1337	26134	3164
1338	26157	3145
1339	26177	3125
1340	26196	3106
1341	26215	3086
1342	26237	3067
1343	26256	3047
1344	26276	3028
1345	26295	3008
1346	26314	2988
1347	26333	2969
1348	26354	2949
1349	26372	2930
1350	26393	2910
1351	26413	2891
1352	26434	2871
1353	26453	2852
1354	26473	2832
1355	26494	2813
1356	26516	2794
1357	26540	2775
1358	26562	2755
1359	26586	2736
1360	26608	2717
1361	26630	2698
1362	26649	2678
1363	26668	2659
1364	26690	2639
1365	26711	2620
1366	26732	2600
1367	26752	2581
1368	26772	2561
1369	26791	2542
1370	26811	2522
1371	26829	2503
1372	26848	2483
1373	26869	2464
1374	26888	2444
1375	26909	2424
1376	26928	2405
1377	26948	2385
1378	26968	2366
1379	26986	2346
1380	27005	2327
1381	27027	2307
1382	27049	2288
1383	27068	2268
1384	27088	2249
1385	27109	2229
1386	27128	2210
1387	27147	2190
1388	27166	2171
1389	27186	2151
1390	27207	2131
1391	27228	2112
1392	27250	2093
1393	27271	2073
1394	27290	2054
1395	27309	2034
1396	27327	2014
1397	27347	1995
1398	27366	1975
1399	27387	1956
1400	27406	1936
1401	27428	1917
1402	27447	1897
1403	27466	1878
1404	27486	1858
1405	27508	1839
1406	27530	1819
1407	27548	1800
1408	27567	1780
1409	27586	1760
1410	27606	1741
1411	27626	1721
1412	27646	1702
1413	27665	1682
1414	27685	1663
1415	27704	1643
1416	27724	1623
1417	27746	1604
1418	27766	1584
1419	27785	1565
1420	27804	1545
1421	27824	1526
1422	27844	1506
1423	27864	1487
1424	27883	1467
1425	27903	1447
1426	27924	1428
1427	27944	1408
1428	27962	1389
1429	27982	1369
1430	28002	1350
1431	28022	1330
1432	28043	1311
1433	28061	1291
1434	28080	1271
1435	28099	1252
1436	28118	1232
1437	28137	1213
1438	28158	1193
1439	28178	1174
1440	28196	1154
1441	28216	1134
